method,kind,dataset_label,dataset,k,num_samples,mean_recall,mean_regret,checkpoint
rank_adjacency,graph,jittered_grid4_d3_n64_test,data/jittered_grid4_d3_n64_test.npz,16.0,1000.0,0.8966666666666666,0.9854036437942176,checkpoints/ablations/rank_adjacency.pt
rank_knn_euclidean,graph,jittered_grid4_d3_n64_test,data/jittered_grid4_d3_n64_test.npz,4.0,1000.0,0.5271666666666667,0.828994406613646,checkpoints/ablations/rank_knn_euclidean.pt
rank_knn_euclidean,graph,jittered_grid4_d3_n64_test,data/jittered_grid4_d3_n64_test.npz,8.0,1000.0,0.72,0.9461376826814659,checkpoints/ablations/rank_knn_euclidean.pt
rank_knn_euclidean,graph,jittered_grid4_d3_n64_test,data/jittered_grid4_d3_n64_test.npz,16.0,1000.0,0.8873333333333333,0.984545565601223,checkpoints/ablations/rank_knn_euclidean.pt
rank_knn_linf,graph,jittered_grid4_d3_n64_test,data/jittered_grid4_d3_n64_test.npz,4.0,1000.0,0.5311666666666667,0.8312442672386455,checkpoints/ablations/rank_knn_linf.pt
rank_knn_linf,graph,jittered_grid4_d3_n64_test,data/jittered_grid4_d3_n64_test.npz,8.0,1000.0,0.7313333333333333,0.9481315968859247,checkpoints/ablations/rank_knn_linf.pt
rank_knn_linf,graph,jittered_grid4_d3_n64_test,data/jittered_grid4_d3_n64_test.npz,16.0,1000.0,0.8956666666666666,0.9849359371856076,checkpoints/ablations/rank_knn_linf.pt
coord_unshared_rank_knn_linf,graph,uniform_d3_n128_test,data/uniform_d3_n128_test.npz,4.0,1000.0,0.402,0.7847206306720939,checkpoints/ablations/coord_unshared_rank_knn_linf.pt
coord_unshared_rank_knn_linf,graph,uniform_d3_n128_test,data/uniform_d3_n128_test.npz,8.0,1000.0,0.5681666666666666,0.9182476668994366,checkpoints/ablations/coord_unshared_rank_knn_linf.pt
coord_unshared_rank_knn_linf,graph,uniform_d3_n128_test,data/uniform_d3_n128_test.npz,16.0,1000.0,0.736,0.9653525248519219,checkpoints/ablations/coord_unshared_rank_knn_linf.pt
depth0_no_graph,graph,uniform_d3_n128_test,data/uniform_d3_n128_test.npz,4.0,1000.0,0.3258333333333333,0.5561194478481231,checkpoints/ablations/depth0_no_graph.pt
depth0_no_graph,graph,uniform_d3_n128_test,data/uniform_d3_n128_test.npz,8.0,1000.0,0.4548333333333333,0.772521707542345,checkpoints/ablations/depth0_no_graph.pt
depth0_no_graph,graph,uniform_d3_n128_test,data/uniform_d3_n128_test.npz,16.0,1000.0,0.6025,0.8973395761801193,checkpoints/ablations/depth0_no_graph.pt
depth1_rank_knn_linf,graph,uniform_d3_n128_test,data/uniform_d3_n128_test.npz,4.0,1000.0,0.35083333333333333,0.7263827886096202,checkpoints/ablations/depth1_rank_knn_linf.pt
